년도,월,자동차 모델,판매량,점유율,전월대비
2023,12,M3,4,2.6%,"18
4▲"
2023,12,SL-Class,151,2.4%,"8
12▲"
2023,12,M2,134,1.7%,"23
9▼"
2023,12,718 Cayman,17,0.8%,"14
7▼"
2023,12,M5,80,0.8%,"2
5▲"
2023,12,GR 86,56,0.4%,"7
4▼"
2023,12,M8,14,0.4%,"2
1▲"
2023,12,GR SUPRA,5,0.1%,"0
1▲"
2024,1,911,85,22.2%,"62
23▲"
2024,1,718 Boxster,3,11.7%,"37
8▲"
2024,1,Taycan,2,11.2%,"312
269▼"
2024,1,Z4,20,11.2%,"40
3▲"
2024,1,Panamera,14,8.9%,"80
46▼"
2024,1,M2,2,7.8%,"14
16▲"
2024,1,GR 86,1,6.8%,"3
23▲"
2024,1,AMG GT,3,6.8%,"151
125▼"
2024,1,M4,12,2.9%,"61
50▼"
2024,1,M3,4,2.1%,"22
14▼"
2024,1,SL-Class,5,2.1%,"20
12▼"
2024,1,Huracan EVO,1,1.8%,"27
20▼"
2024,1,GR SUPRA,4,1.8%,"1
6▲"
2024,1,718 Cayman,1,1.6%,"7
1▼"
2024,1,Mustang,5,0.8%,"0
3▲"
2024,1,LC,1,0.3%,"0
1▲"
2024,2,Mustang,169,28.0%,"0
169▲"
2024,2,911,36,14.9%,"85
5▲"
2024,2,GR 86,57,9.8%,"26
33▲"
2024,2,718 Boxster,28,9.8%,"45
14▲"
2024,2,Taycan,48,7.9%,"43
5▲"
2024,2,Panamera,90,7.5%,"34
11▲"
2024,2,Z4,4,5.3%,"43
11▼"
2024,2,AMG GT,16,5.1%,"26
5▲"
2024,2,M2,17,2.8%,"30
13▼"
2024,2,M3,3,2.3%,"8
6▲"
2024,2,718 Cayman,5,2.0%,"6
6▲"
2024,2,SL-Class,5,1.7%,"8
2▲"
2024,2,M4,5,1.3%,"11
3▼"
2024,2,Huracan EVO,2,0.7%,"7
3▼"
2024,2,LC,5,0.5%,"1
2▲"
2024,2,GR SUPRA,6,0.5%,"7
4▼"
2024,3,Mustang,119,20.7%,"169
50▼"
2024,3,AMG GT,31,15.0%,"31
55▲"
2024,3,911,37,12.7%,"90
17▼"
2024,3,Panamera,30,10.4%,"45
15▲"
2024,3,Taycan,21,9.6%,"48
7▲"
2024,3,GR 86,86,7.3%,"59
17▼"
2024,3,718 Boxster,81,5.7%,"59
26▼"
2024,3,Z4,5,5.7%,"32
1▲"
2024,3,M2,73,3.5%,"17
3▲"
2024,3,M4,2,3.1%,"8
10▲"
2024,3,SL-Class,8,1.9%,"10
1▲"
2024,3,M3,9,1.4%,"14
6▼"
2024,3,718 Cayman,10,1.0%,"12
6▼"
2024,3,Huracan EVO,8,0.9%,"4
1▲"
2024,3,M5,1,0.5%,"0
3▲"
2024,3,LC,8,0.2%,"3
2▼"
2024,3,MC20 Cielo,7,0.2%,"0
1▲"
2024,3,GR SUPRA,4,0.2%,"3
2▼"
2024,4,Taycan,110,18.4%,"55
55▲"
2024,4,911,41,17.9%,"73
34▲"
2024,4,Z4,3,11.7%,"33
37▲"
2024,4,GR 86,43,9.5%,"42
15▲"
2024,4,Mustang,10,8.7%,"119
67▼"
2024,4,AMG GT,11,7.4%,"86
42▼"
2024,4,M2,1,5.7%,"20
14▲"
2024,4,SL-Class,1,4.5%,"11
16▲"
2024,4,Panamera,107,4.0%,"0
24▲"
2024,4,718 Boxster,12,3.0%,"33
15▼"
2024,4,M3,13,2.5%,"8
7▲"
2024,4,M4,5,2.2%,"18
5▼"
2024,4,M8,9,1.0%,"0
6▲"
2024,4,Panamera,11,0.8%,"60
55▼"
2024,4,Huracan EVO,2,0.8%,"5
0▼"
2024,4,718 Cayman,11,0.8%,"6
1▼"
2024,4,GR SUPRA,17,0.7%,"1
3▲"
2024,4,M5,3,0.2%,"3
2▼"
2024,5,911,120,20.4%,"107
13▲"
2024,5,Mustang,5,18.3%,"52
56▲"
2024,5,Taycan,18,14.9%,"110
22▼"
2024,5,Z4,3,10.7%,"70
7▼"
2024,5,Panamera,3,8.7%,"24
27▲"
2024,5,AMG GT,9,6.8%,"44
4▼"
2024,5,M2,11,3.9%,"34
11▼"
2024,5,M4,21,3.2%,"13
6▲"
2024,5,GR 86,19,2.9%,"57
40▼"
2024,5,718 Boxster,1,2.7%,"18
2▼"
2024,5,SL-Class,2,2.0%,"27
15▼"
2024,5,M3,7,1.5%,"15
6▼"
2024,5,M8,2,1.2%,"6
1▲"
2024,5,718 Cayman,6,0.8%,"5
0▼"
2024,5,M5,2,0.7%,"1
3▲"
2024,5,Huracan EVO,6,0.7%,"5
1▼"
2024,5,GR SUPRA,2,0.5%,"4
1▼"
2024,6,Panamera,70,14.4%,"51
19▲"
2024,6,911,66,11.8%,"120
63▼"
2024,6,GR 86,4,10.1%,"17
32▲"
2024,6,Mustang,57,9.5%,"108
62▼"
2024,6,Z4,7,9.3%,"63
18▼"
2024,6,Taycan,6,7.8%,"88
50▼"
2024,6,AMG GT,1,7.0%,"40
6▼"
2024,6,718 Boxster,2,7.0%,"16
18▲"
2024,6,M2,5,6.6%,"23
9▲"
2024,6,M4,13,4.1%,"19
1▲"
2024,6,M3,8,3.5%,"9
8▲"
2024,6,Huracan EVO,1,2.3%,"4
7▲"
2024,6,M8,3,2.1%,"7
3▲"
2024,6,SL-Class,2,2.1%,"12
2▼"
2024,6,718 Cayman,3,0.8%,"5
1▼"
2024,6,GR SUPRA,3,0.6%,"3
0▼"
2024,6,LC,3,0.4%,"0
2▲"
2024,6,M5,49,0.4%,"4
2▼"
2024,6,MC20,49,0.2%,"0
1▲"
2024,7,Panamera,357,41.4%,"70
287▲"
2024,7,911,353,23.6%,"57
147▲"
2024,7,Mustang,1,7.4%,"46
18▲"
2024,7,GR 86,2,5.2%,"49
4▼"
2024,7,AMG GT,1,4.4%,"34
4▲"
2024,7,Z4,204,4.1%,"45
10▼"
2024,7,M2,21,3.6%,"32
1▼"
2024,7,718 Boxster,22,3.1%,"34
7▼"
2024,7,M3,4,1.7%,"17
2▼"
2024,7,Huracan EVO,5,1.5%,"11
2▲"
2024,7,M4,11,1.4%,"20
8▼"
2024,7,SL-Class,22,1.2%,"10
0▼"
2024,7,Taycan,33,0.7%,"0
6▲"
2024,7,GR SUPRA,8,0.3%,"3
0▼"
2024,7,718 Cayman,1,0.2%,"4
2▼"
2024,7,LC,5,0.1%,"2
1▼"
2024,8,911,235,30.4%,"204
31▲"
2024,8,Panamera,10,28.5%,"357
137▼"
2024,8,Taycan,25,6.5%,"6
44▲"
2024,8,AMG GT,7,6.1%,"38
9▲"
2024,8,Mustang,12,4.4%,"64
30▼"
2024,8,Z4,16,3.9%,"35
5▼"
2024,8,718 Boxster,28,3.6%,"27
1▲"
2024,8,M4,46,3.5%,"0
27▲"
2024,8,GR 86,30,3.2%,"45
20▼"
2024,8,M3,1,3.1%,"15
9▲"
2024,8,M2,5,2.8%,"31
9▼"
2024,8,Taycan,7,1.7%,"0
13▲"
2024,8,SL-Class,7,0.9%,"10
3▼"
2024,8,718 Cayman,11,0.9%,"2
5▲"
2024,8,Huracan EVO,7,0.3%,"13
11▼"
2024,8,GR SUPRA,12,0.3%,"3
1▼"
2024,9,Panamera,133,20.8%,"220
87▼"
2024,9,Taycan,128,20.6%,"50
82▲"
2024,9,911,5,19.7%,"235
109▼"
2024,9,Mustang,132,6.7%,"34
9▲"
2024,9,AMG GT,53,5.9%,"47
9▼"
2024,9,Taycan,1,5.3%,"13
21▲"
2024,9,M4,39,4.7%,"27
3▲"
2024,9,GR 86,4,4.4%,"25
3▲"
2024,9,Z4,18,4.1%,"30
4▼"
2024,9,M2,10,2.7%,"22
5▼"
2024,9,718 Boxster,7,1.7%,"28
17▼"
2024,9,M3,126,1.3%,"24
16▼"
2024,9,SL-Class,6,0.9%,"7
1▼"
2024,9,718 Cayman,26,0.8%,"7
2▼"
2024,9,Huracan EVO,5,0.5%,"2
1▲"
2024,10,Taycan,121,22.1%,"132
11▼"
2024,10,Panamera,66,19.9%,"133
24▼"
2024,10,911,4,16.1%,"126
38▼"
2024,10,AMG GT,46,6.8%,"38
1▼"
2024,10,Mustang,1,6.8%,"43
6▼"
2024,10,Z4,1,6.6%,"26
10▲"
2024,10,718 Boxster,1,4.8%,"11
15▲"
2024,10,M2,2,4.4%,"17
7▲"
2024,10,M4,109,2.6%,"30
16▼"
2024,10,M3,109,2.6%,"8
6▲"
2024,10,SL-Class,88,2.4%,"6
7▲"
2024,10,GR 86,7,2.0%,"28
17▼"
2024,10,718 Cayman,13,1.1%,"5
1▲"
2024,10,Huracan EVO,2,0.9%,"3
2▲"
2024,10,GR SUPRA,1,0.4%,"0
2▲"
2024,10,Taycan,5,0.4%,"34
32▼"
2024,10,M8,10,0.4%,"0
2▲"
2024,11,Panamera,286,41.0%,"109
177▲"
2024,11,Taycan,114,23.5%,"121
43▲"
2024,11,911,169,9.5%,"88
22▼"
2024,11,AMG GT,2,6.2%,"37
6▲"
2024,11,Mustang,1,4.6%,"37
5▼"
2024,11,Z4,164,3.4%,"36
12▼"
2024,11,718 Boxster,91,3.0%,"26
5▼"
2024,11,Taycan,9,1.6%,"2
9▲"
2024,11,M3,33,1.6%,"0
11▲"
2024,11,M2,4,1.6%,"24
13▼"
2024,11,M4,6,1.4%,"14
4▼"
2024,11,GR 86,8,1.0%,"11
4▼"
2024,11,The New M5,13,0.6%,"0
4▲"
2024,11,Huracan EVO,66,0.3%,"5
3▼"
2024,11,SL-Class,3,0.3%,"13
11▼"
2024,11,GR SUPRA,11,0.3%,"2
0▼"
2024,11,MC20 Cielo,1,0.1%,"0
1▲"
2024,11,GranCabrio,3,0.1%,"0
1▲"
2024,12,Taycan,256,33.7%,"164
92▲"
2024,12,Panamera,155,23.2%,"286
110▼"
2024,12,Mustang,6,11.6%,"32
56▲"
2024,12,911,84,6.1%,"66
20▼"
2024,12,AMG GT,7,5.8%,"43
1▲"
2024,12,The New M2,1,4.3%,"0
33▲"
2024,12,718 Boxster,3,2.5%,"21
2▼"
2024,12,Z4,176,2.2%,"24
7▼"
2024,12,M4,113,2.1%,"10
6▲"
2024,12,GR 86,59,2.0%,"7
8▲"
2024,12,The New M5,4,1.8%,"4
10▲"
2024,12,SL-Class,88,1.6%,"2
10▲"
2024,12,M3,12,1.1%,"11
3▼"
2024,12,M8,19,0.5%,"0
4▲"
2024,12,Taycan,10,0.5%,"11
7▼"
2024,12,718 Cayman,47,0.5%,"0
4▲"
2024,12,GranCabrio,46,0.3%,"1
1▲"
2024,12,Huracan EVO,4,0.1%,"2
1▼"
2025,1,Panamera,215,34.7%,"176
39▲"
2025,1,Taycan,67,19.7%,"256
134▼"
2025,1,911,137,6.1%,"46
8▼"
2025,1,Mustang,5,5.3%,"88
55▼"
2025,1,The New M2,6,5.2%,"33
1▼"
2025,1,Z4,122,4.7%,"17
12▲"
2025,1,AMG GT,78,4.0%,"44
19▼"
2025,1,M4,2,3.2%,"16
4▲"
2025,1,The New M5,35,3.1%,"14
5▲"
2025,1,718 Boxster,2,2.9%,"19
1▼"
2025,1,M3,1,1.9%,"8
4▲"
2025,1,Purosangue,4,1.8%,"0
11▲"
2025,1,Roma Spider,38,1.5%,"0
9▲"
2025,1,296 GTS,3,1.5%,"0
9▲"
2025,1,718 Cayman,3,1.1%,"4
3▲"
2025,1,SL-Class,3,1.1%,"12
5▼"
2025,1,GR 86,1,1.0%,"15
9▼"
2025,1,GranTurismo,1,0.3%,"0
2▲"
2025,1,296 GTB,5,0.3%,"0
2▲"
2025,1,M8,10,0.2%,"4
3▼"
2025,1,GranCabrio,6,0.2%,"2
1▼"
2025,1,SF90 Stradale,3,0.2%,"0
1▲"
2025,1,Huracan EVO,1,0.2%,"1
0▼"
2025,2,Panamera,210,31.8%,"215
5▼"
2025,2,Taycan,80,18.2%,"122
2▼"
2025,2,911,72,7.3%,"38
10▲"
2025,2,Mustang,52,6.7%,"33
11▲"
2025,2,AMG GT,4,6.1%,"25
15▲"
2025,2,The New M2,2,4.8%,"32
0▼"
2025,2,SL-Class,120,3.9%,"7
19▲"
2025,2,Z4,68,3.5%,"29
6▼"
2025,2,M4,8,2.9%,"20
1▼"
2025,2,718 Boxster,40,2.9%,"18
1▲"
2025,2,M3,2,2.7%,"12
6▲"
2025,2,The New M5,2,2.7%,"19
1▼"
2025,2,Purosangue,48,2.0%,"11
2▲"
2025,2,GR 86,1,1.7%,"6
5▲"
2025,2,296 GTS,4,1.5%,"9
1▲"
2025,2,Roma Spider,2,0.5%,"9
6▼"
2025,2,718 Cayman,2,0.3%,"7
5▼"
2025,2,SF90 Stradale,7,0.2%,"1
0▼"
2025,2,M8,3,0.2%,"1
0▼"
2025,2,SF90 Spider,7,0.2%,"0
1▲"
2025,2,LC,5,0.2%,"0
1▲"
2025,2,GranTurismo,2,0.2%,"2
1▼"
